alus_id;nimi;alustyyppi;Tilakoodi;Ensirekisterointipvm;Uusikotimaa;Vanhakotimaa;Rakennusvuosi;Rakennusmaa;Rakennuspaikka;omistajuustyyppi;asiakkaan_kuntatieto;aluksen_satamapaikka;Kantavuus;JaaluokkaKoodi;Nettovetoisuus;Bruttovetoisuus;Pituus;Suurinpituus;Mallisyvays;Mallikorkeus;Leveys;
"415";"Ulla";"11";"VESSEL_REGISTERED_FI";"25.11.1974";"";"999";"1965";"752";"Åmål";"3";"199";"Kemi";"";"";"38";"126";"22,77";"";"2,85";"3,80";"7,15";
"416";"Tyr";"11";"VESSEL_REGISTERED_FI";"05.04.1989";"";"752";"";"";"";"1";"710";"Turku";"";"";"41";"135";"23,47";"";"3,50";"4,20";"7,64";
"416";"Tyr";"11";"VESSEL_REGISTERED_FI";"05.04.1989";"";"752";"1959";"752";"Åmål";"3";"199";"Turku";"";"";"41";"135";"23,47";"";"3,50";"4,20";"7,64";
"417";"Iso-Pukki";"11";"VESSEL_REGISTERED_FI";"13.01.1969";"";"752";"";"";"";"1";"853";"Turku";"";"IA";"73";"243";"28,54";"";"4,05";"4,78";"9,00";
"417";"Iso-Pukki";"11";"VESSEL_REGISTERED_FI";"13.01.1969";"";"752";"1968";"752";"Åmål";"3";"199";"Turku";"";"IA";"73";"243";"28,54";"";"4,05";"4,78";"9,00";
"418";"Jääsalo";"11";"VESSEL_REGISTERED_FI";"30.10.1975";"";"999";"";"";"";"1";"240";"Kemi";"";"";"91";"301";"31,50";"";"3,98";"5,30";"9,28";
"418";"Jääsalo";"11";"VESSEL_REGISTERED_FI";"30.10.1975";"";"999";"";"";"";"2";"240";"Kemi";"";"";"91";"301";"31,50";"";"3,98";"5,30";"9,28";
"418";"Jääsalo";"11";"VESSEL_REGISTERED_FI";"30.10.1975";"";"999";"1975";"752";"Åmål";"3";"199";"Kemi";"";"";"91";"301";"31,50";"";"3,98";"5,30";"9,28";
"419";"Hercules";"11";"VESSEL_REGISTERED_FI";"11.12.1980";"";"997";"";"";"";"1";"905";"Vaasa";"";"";"49";"161";"25,42";"";"3,58";"4,45";"7,60";
"419";"Hercules";"11";"VESSEL_REGISTERED_FI";"11.12.1980";"";"997";"1960";"752";"Åmål";"3";"199";"Vaasa";"";"";"49";"161";"25,42";"";"3,58";"4,45";"7,60";
"420";"Marlene";"11";"VESSEL_REGISTERED_FI";"24.03.1987";"";"246";"";"";"";"1";"740";"Savonlinna";"";"";"76";"253";"51,84";"";"1,58";"2,10";"11,74";
"420";"Marlene";"11";"VESSEL_REGISTERED_FI";"24.03.1987";"";"246";"1966";"752";"Åmål";"3";"199";"Savonlinna";"";"";"76";"253";"51,84";"";"1,58";"2,10";"11,74";
"421";"Lenne";"11";"VESSEL_REGISTERED_FI";"14.02.1983";"";"752";"";"";"";"1";"564";"Vaasa";"";"";"55";"182";"25,65";"";"3,66";"4,46";"7,96";
"421";"Lenne";"11";"VESSEL_REGISTERED_FI";"14.02.1983";"";"752";"1961";"752";"Åmål";"3";"199";"Vaasa";"";"";"55";"182";"25,65";"";"3,66";"4,46";"7,96";
"422";"Hamlet";"11";"VESSEL_REGISTERED_FI";"30.11.1988";"";"752";"";"";"";"1";"853";"Helsinki";"";"";"31";"102";"22,14";"";"2,85";"3,80";"7,15";
"422";"Hamlet";"11";"VESSEL_REGISTERED_FI";"30.11.1988";"";"752";"1967";"752";"Åmål";"3";"199";"Helsinki";"";"";"31";"102";"22,14";"";"2,85";"3,80";"7,15";
"423";"Wästerö";"4";"VESSEL_REGISTERED_FI";"04.02.1980";"";"752";"";"";"";"1";"445";"Iniö";"";"";"21";"70";"21,09";"";"2,40";"3,20";"6,12";
"423";"Wästerö";"4";"VESSEL_REGISTERED_FI";"04.02.1980";"";"752";"";"";"";"1";"445";"Iniö";"";"";"21";"70";"21,09";"";"2,40";"3,20";"6,12";
"423";"Wästerö";"4";"VESSEL_REGISTERED_FI";"04.02.1980";"";"752";"1947";"752";"Öckerö";"3";"199";"Iniö";"";"";"21";"70";"21,09";"";"2,40";"3,20";"6,12";
"424";"Suvi-Tuuli";"5";"VESSEL_REGISTERED_FI";"04.08.1962";"";"643";"";"";"";"1";"638";"Porvoo";"";"";"25";"60";"22,54";"";"0,60";"0,80";"4,40";
"424";"Suvi-Tuuli";"5";"VESSEL_REGISTERED_FI";"04.08.1962";"";"643";"1962";"643";"";"3";"199";"Porvoo";"";"";"25";"60";"22,54";"";"0,60";"0,80";"4,40";
"425";"Kivisalmi";"5";"VESSEL_REGISTERED_FI";"08.05.1991";"";"";"";"";"";"1";"199";"Sysmä";"";"";"26";"76";"25,24";"";"1,96";"2,61";"5,48";
"425";"Kivisalmi";"5";"VESSEL_REGISTERED_FI";"08.05.1991";"";"";"1968";"643";"Astrakan";"3";"199";"Sysmä";"";"";"26";"76";"25,24";"";"1,96";"2,61";"5,48";
"426";"Charlotta";"11";"VESSEL_REGISTERED_FI";"04.11.1992";"";"246";"";"";"";"1";"091";"Porvoo mlk";"";"";"23";"76";"24,20";"";"1,95";"2,50";"5,30";
"426";"Charlotta";"11";"VESSEL_REGISTERED_FI";"04.11.1992";"";"246";"1967";"643";"Astrakan";"3";"199";"Porvoo mlk";"";"";"23";"76";"24,20";"";"1,95";"2,50";"5,30";
"427";"Merihanhi";"5";"VESSEL_REGISTERED_FI";"22.08.1990";"";"246";"";"";"";"1";"684";"Rauma";"";"";"";"";"11,63";"";"0,96";"4,80";"4,09";
"427";"Merihanhi";"5";"VESSEL_REGISTERED_FI";"22.08.1990";"";"246";"1988";"840";"";"3";"199";"Rauma";"";"";"";"";"11,63";"";"0,96";"4,80";"4,09";
"428";"Tolvan";"11";"VESSEL_REGISTERED_FI";"17.06.1987";"";"840";"";"";"";"1";"853";"Turku";"";"";"26";"86";"20,31";"";"2,10";"2,80";"6,08";
"428";"Tolvan";"11";"VESSEL_REGISTERED_FI";"17.06.1987";"";"840";"1944";"840";"Brooklyn N,Y,";"3";"199";"Turku";"";"";"26";"86";"20,31";"";"2,10";"2,80";"6,08";
"429";"Hatteras";"5";"VESSEL_REGISTERED_FI";"23.05.1990";"";"840";"";"";"";"1";"091";"Helsinki";"";"";"7";"22";"11,67";"";"2,10";"2,36";"4,06";
"429";"Hatteras";"5";"VESSEL_REGISTERED_FI";"23.05.1990";"";"840";"1988";"840";"High Point,North Carolina";"3";"199";"Helsinki";"";"";"7";"22";"11,67";"";"2,10";"2,36";"4,06";
"430";"Meri-Pekka";"9";"VESSEL_REGISTERED_FI";"03.10.1972";"";"756";"";"";"";"1";"091";"Helsinki";"";"";"175";"582";"46,78";"";"1,85";"18,54";"11,32";
"430";"Meri-Pekka";"9";"VESSEL_REGISTERED_FI";"03.10.1972";"";"756";"1962";"840";"Wisconsin";"3";"199";"Helsinki";"";"";"175";"582";"46,78";"";"1,85";"18,54";"11,32";
"431";"Sampo";"9";"VESSEL_REGISTERED_FI";"03.02.1989";"";"528";"";"";"";"1";"205";"Lappeenranta";"";"";"316";"604";"71,33";"";"2,10";"2,80";"10,96";
"431";"Sampo";"9";"VESSEL_REGISTERED_FI";"03.02.1989";"";"528";"1988";"890";"Zrenjanin";"3";"199";"Lappeenranta";"";"";"316";"604";"71,33";"";"2,10";"2,80";"10,96";
"432";"Nora";"11";"VESSEL_REGISTERED_FI";"07.03.1969";"";"246";"";"";"";"1";"322";"Kemiö";"348";"";"75";"209";"36,05";"";"2,06";"2,52";"7,96";
"432";"Nora";"11";"VESSEL_REGISTERED_FI";"07.03.1969";"";"246";"1964";"";"";"3";"199";"Kemiö";"348";"";"75";"209";"36,05";"";"2,06";"2,52";"7,96";
